Country,Schooling_Improvement
Montenegro,15.1
"Antigua and Barbuda",14.7
"Bosnia and Herzegovina",14.2
Timor-Leste,12.5
"Micronesia (Federated States of)",11.7
Turkmenistan,10.8
"Equatorial Guinea",9.2
Angola,6.800000000000001
Burundi,6.199999999999999
Mongolia,5.9
Cuba,5.6
Bhutan,5.3
"South Sudan",4.9
Afghanistan,4.6
Ethiopia,4.5
"Burkina Faso",4.300000000000001
Romania,4.300000000000001
"Saudi Arabia",4.300000000000001
Senegal,4.3
Benin,4.299999999999999
Rwanda,4.200000000000001
Ghana,4.1
Morocco,4.1
Mozambique,4.1
Guinea,4.000000000000001
China,4
Mali,4
"Syrian Arab Republic",4
"Venezuela (Bolivarian Republic of)",3.9000000000000004
Nepal,3.8000000000000007
Turkey,3.8000000000000007
"Papua New Guinea",3.8
Algeria,3.700000000000001
Cambodia,3.7
Albania,3.5999999999999996
"Iran (Islamic Republic of)",3.5999999999999996
Cameroon,3.5
Djibouti,3.4
Greece,3.299999999999999
India,3.299999999999999
Oman,3.299999999999999
Belgium,3.1000000000000014
Croatia,3.1000000000000014
"New Zealand",3.1000000000000014
Mauritius,3.0999999999999996
Slovenia,3.0000000000000018
Denmark,3
"Solomon Islands",3
Comoros,2.9000000000000004
Kazakhstan,2.9000000000000004
Kenya,2.9000000000000004
"Russian Federation",2.9000000000000004
Singapore,2.9000000000000004
Zambia,2.9000000000000004
Bangladesh,2.8999999999999995
Chile,2.8000000000000007
"Lao People's Democratic Republic",2.8000000000000007
Lithuania,2.8000000000000007
Pakistan,2.8
"Sierra Leone",2.8
Guinea-Bissau,2.799999999999999
Thailand,2.799999999999999
Latvia,2.6999999999999993
Togo,2.6999999999999993
Niger,2.6000000000000005
Azerbaijan,2.5999999999999996
Belarus,2.5999999999999996
"Cabo Verde",2.5999999999999996
Chad,2.5999999999999996
"Costa Rica",2.5999999999999996
Libya,2.5999999999999996
Colombia,2.5
Georgia,2.5
Guatemala,2.5
Ireland,2.400000000000002
Gambia,2.4000000000000004
Kiribati,2.4000000000000004
Nigeria,2.4000000000000004
Argentina,2.3000000000000007
Indonesia,2.3000000000000007
Madagascar,2.3000000000000007
Swaziland,2.3000000000000007
Lebanon,2.299999999999999
Fiji,2.200000000000001
Cyprus,2.1999999999999993
Iceland,2.1999999999999993
"Viet Nam",2.1999999999999993
Ukraine,2.1000000000000014
Bulgaria,2.0999999999999996
Egypt,2.0999999999999996
"El Salvador",2.0999999999999996
Estonia,2.0999999999999996
Mauritania,2.0999999999999996
Slovakia,2.0999999999999996
Spain,2.0999999999999996
Qatar,2
Seychelles,2
Congo,1.9000000000000004
Hungary,1.9000000000000004
Iraq,1.9000000000000004
Jamaica,1.9000000000000004
Mexico,1.9000000000000004
"Central African Republic",1.8999999999999995
Armenia,1.8999999999999986
Brazil,1.8999999999999986
Honduras,1.8999999999999986
"Sao Tome and Principe",1.8999999999999986
Tunisia,1.8999999999999986
Barbados,1.8000000000000007
Italy,1.8000000000000007
Liberia,1.8000000000000007
Poland,1.799999999999999
Suriname,1.799999999999999
Uganda,1.799999999999999
Netherlands,1.7000000000000028
Grenada,1.700000000000001
Tajikistan,1.700000000000001
Sudan,1.7000000000000002
Australia,1.6999999999999993
"Brunei Darussalam",1.6999999999999993
Uruguay,1.6999999999999993
Ecuador,1.5999999999999996
Kyrgyzstan,1.5999999999999996
Myanmar,1.5999999999999996
Nicaragua,1.5999999999999996
"Sri Lanka",1.5999999999999996
Eritrea,1.5000000000000004
Finland,1.5
Guyana,1.5
Lesotho,1.5
Malaysia,1.5
"United Arab Emirates",1.5
Uzbekistan,1.5
Austria,1.4000000000000021
Kuwait,1.4000000000000004
Portugal,1.4000000000000004
Serbia,1.4000000000000004
Tonga,1.4000000000000004
Maldives,1.3999999999999986
Bahrain,1.3000000000000007
"The former Yugoslav republic of Macedonia",1.3000000000000007
Haiti,1.2999999999999998
Yemen,1.2999999999999998
"Bolivia (Plurinational State of)",1.299999999999999
Belize,1.200000000000001
Jordan,1.200000000000001
Malawi,1.200000000000001
Vanuatu,1.200000000000001
Zimbabwe,1.200000000000001
Malta,1.1000000000000014
Paraguay,1.0999999999999996
Peru,1.0999999999999996
"Dominican Republic",1
Switzerland,1
"Trinidad and Tobago",1
Germany,0.9000000000000021
Botswana,0.9000000000000004
France,0.9000000000000004
Israel,0.9000000000000004
Panama,0.9000000000000004
"Saint Lucia",0.9000000000000004
Samoa,0.9000000000000004
Japan,0.8000000000000007
"Saint Vincent and the Grenadines",0.6000000000000014
Bahamas,0.5999999999999996
Norway,0.5999999999999979
Canada,0.5
Luxembourg,0.5
Namibia,0.5
Gabon,0.40000000000000036
Sweden,0.3000000000000007
Philippines,0.29999999999999893
"South Africa",0.1999999999999993
"Cä¹ˆte d'Ivoire",0
"Cook Islands",0
Czechia,0
"Democratic People's Republic of Korea",0
"Democratic Republic of the Congo",0
Dominica,0
"Marshall Islands",0
Monaco,0
Nauru,0
Niue,0
Palau,0
"Republic of Korea",0
"Republic of Moldova",0
"Saint Kitts and Nevis",0
"San Marino",0
Somalia,0
Tuvalu,0
"United Kingdom of Great Britain and Northern Ireland",0
"United Republic of Tanzania",0
"United States of America",0
